mirna_name,P-value,FDR,Bonferroni,A,B,observed_ratio,C,D,expected_ratio,foldchange_enrichment
hsa-miR-143-5p,0.9766261672896008,1.0,1.0,21,1352,0.015532544378698224,598,26380,0.02266868840030326,0.685198195167323
hsa-miR-144-3p,0.9601326491889138,1.0,1.0,4,1352,0.0029585798816568047,155,26380,0.005875663381349507,0.5035312082458484
hsa-miR-144-5p,0.7692210401017598,1.0,1.0,30,1352,0.022189349112426034,657,26380,0.024905231235784687,0.89095133879117
hsa-miR-145-3p,0.9999999999999784,1.0,1.0,77,1352,0.05695266272189349,3037,26380,0.11512509476876422,0.4947024177160192
hsa-miR-145-5p,0.9583930729888371,1.0,1.0,55,1352,0.040680473372781065,1322,26380,0.050113722517058375,0.8117631524765239
hsa-miR-1468-3p,1.0,1.0,1.0,0,1352,0.0,3,26380,0.00011372251705837755,0.0
hsa-miR-1468-5p,0.9764842743636176,1.0,1.0,5,1352,0.0036982248520710057,198,26380,0.0075056861258529185,0.49272308887693506
hsa-miR-146a-3p,0.9711212466792594,1.0,1.0,2,1352,0.0014792899408284023,103,26380,0.003904473085670963,0.3788705693111966
hsa-miR-146a-5p,0.33109327978748493,1.0,1.0,255,1352,0.1886094674556213,4849,26380,0.18381349507202427,1.0260915140192388
hsa-miR-146b-3p,0.8904555497495598,1.0,1.0,1,1352,0.0007396449704142012,42,26380,0.001592115238817286,0.464567483798253
hsa-miR-146b-5p,0.9999959503474071,1.0,1.0,111,1352,0.08210059171597633,3118,26380,0.1181956027293404,0.6946162955315766
hsa-miR-147a,0.9933520592447543,1.0,1.0,111,1352,0.08210059171597633,2665,26380,0.1010235026535254,0.812688033571278
hsa-miR-147b-3p,0.9999769915783558,1.0,1.0,68,1352,0.05029585798816568,2036,26380,0.07717968157695224,0.6516722660745632
hsa-miR-148a-3p,0.9999989157297983,1.0,1.0,236,1352,0.17455621301775148,5941,26380,0.22520849128127368,0.7750871737768531
hsa-miR-148a-5p,0.9999999963709891,1.0,1.0,56,1352,0.04142011834319527,2087,26380,0.07911296436694465,0.5235566468104894
hsa-miR-148b-3p,0.9999862969375984,1.0,1.0,247,1352,0.18269230769230768,6011,26380,0.2278620166793025,0.8017672728203421
hsa-miR-148b-5p,0.9999999999999958,1.0,1.0,134,1352,0.09911242603550297,4522,26380,0.1714177407126611,0.5781923482566493
hsa-miR-149-3p,0.6688752834736715,1.0,1.0,1,1352,0.0007396449704142012,21,26380,0.000796057619408643,0.929134967596506
hsa-miR-149-5p,0.9999999924328109,1.0,1.0,44,1352,0.03254437869822485,1746,26380,0.06618650492797575,0.49170716498234335
hsa-miR-150-3p,0.9780668160353236,1.0,1.0,5,1352,0.0036982248520710057,200,26380,0.0075815011372251705,0.48779585798816566
hsa-miR-150-5p,0.5559831862484036,1.0,1.0,44,1352,0.03254437869822485,869,26380,0.032941622441243365,0.9879409782038799
hsa-miR-151a-3p,0.9999996961025087,1.0,1.0,77,1352,0.05695266272189349,2442,26380,0.09257012888551933,0.615238019084173
hsa-miR-151a-5p,1.0,1.0,1.0,66,1352,0.04881656804733728,2922,26380,0.11076573161485974,0.44071905033838377
hsa-miR-151b,0.9999999895222077,1.0,1.0,58,1352,0.042899408284023666,2101,26380,0.07964366944655042,0.5386417851178221
hsa-miR-152-3p,0.9998669606361953,1.0,1.0,137,1352,0.10133136094674557,3500,26380,0.1326762699014405,0.763748943364328
hsa-miR-152-5p,0.9961231659993629,1.0,1.0,14,1352,0.010355029585798817,498,26380,0.018877937831690676,0.5485254627979373
hsa-miR-153-3p,0.992830469009694,1.0,1.0,30,1352,0.022189349112426034,866,26380,0.032827899924184986,0.6759295953646638
hsa-miR-153-5p,0.8831920609889482,1.0,1.0,7,1352,0.005177514792899409,197,26380,0.007467778620166793,0.6933139098308954
hsa-miR-1537-3p,1.0,1.0,1.0,0,1352,0.0,10,26380,0.0003790750568612585,0.0
hsa-miR-1537-5p,1.0,1.0,1.0,0,1352,0.0,10,26380,0.0003790750568612585,0.0
hsa-miR-154-3p,0.9789309073480652,1.0,1.0,12,1352,0.008875739644970414,385,26380,0.014594389689158454,0.6081610696995312
